=== Log Session Started: 2025-10-15T19:53:46.086Z ===
Node Version: v23.7.0
Platform: darwin
Working Directory: /Users/nathanielstoddard/chainreact-app/chainreact-app-9e
================================================================================

[2025-10-15T19:53:46.086Z] [INFO   ] File logging initialized
[2025-10-15T19:53:46.086Z] [INFO   ] Log file: /Users/nathanielstoddard/chainreact-app/chainreact-app-9e/logs/workflow_2025-10-15_14-53-46.log
[2025-10-15T19:53:46.087Z] [INFO   ] 📁 File logging enabled
[2025-10-15T19:53:46.087Z] [INFO   ] 📝 Logs will be written to: /Users/nathanielstoddard/chainreact-app/chainreact-app-9e/logs/workflow_2025-10-15_14-53-46.log
[2025-10-15T19:53:46.087Z] [INFO   ] 💡 To view logs in real-time: tail -f /Users/nathanielstoddard/chainreact-app/chainreact-app-9e/logs/workflow_2025-10-15_14-53-46.log
[2025-10-15T19:53:46.087Z] [INFO   ] 💡 To view all logs: cat /Users/nathanielstoddard/chainreact-app/chainreact-app-9e/logs/workflow_2025-10-15_14-53-46.log
[2025-10-15T19:53:46.087Z] [INFO   ] 💡 To share logs: Copy the file at /Users/nathanielstoddard/chainreact-app/chainreact-app-9e/logs/workflow_2025-10-15_14-53-46.log
[2025-10-15T19:53:46.087Z] [INFO   ] --------------------------------------------------------------------------------
[2025-10-15T19:53:46.087Z] [DEBUG  ] 📁 File logging system initialized
[2025-10-15T19:53:46.100Z] [INFO   ]  ✓ Ready in 3.7s
[2025-10-15T19:55:44.198Z] [INFO   ]  ○ Compiling /home ...
[2025-10-15T19:55:48.680Z] [INFO   ]  ✓ Compiled /home in 5s (4409 modules)
[2025-10-15T19:55:49.383Z] [INFO   ]  ✓ Compiled in 688ms (1017 modules)
[2025-10-15T19:57:36.381Z] [INFO   ]  ✓ Compiled in 468ms (1017 modules)
[2025-10-15T19:57:43.573Z] [INFO   ]  ✓ Compiled in 330ms (1017 modules)
[2025-10-15T20:00:18.548Z] [INFO   ]  ✓ Compiled in 863ms (1017 modules)
[2025-10-15T20:01:58.538Z] [INFO   ]  ✓ Compiled in 1502ms (3255 modules)
[2025-10-15T20:08:58.363Z] [INFO   ]  ✓ Compiled in 1223ms (1018 modules)
[2025-10-15T20:21:42.583Z] [INFO   ]  ✓ Compiled in 837ms (1018 modules)
[2025-10-15T20:21:53.489Z] [INFO   ]  ✓ Compiled in 424ms (1018 modules)
[2025-10-15T20:23:31.350Z] [INFO   ]  ✓ Compiled in 1186ms (1019 modules)
[2025-10-15T20:24:56.828Z] [INFO   ]  ✓ Compiled in 934ms (1019 modules)
[2025-10-15T20:25:04.403Z] [INFO   ]  ✓ Compiled in 342ms (1019 modules)
[2025-10-15T20:25:26.337Z] [INFO   ]  ✓ Compiled in 1005ms (1019 modules)
[2025-10-15T20:26:03.437Z] [INFO   ]  ✓ Compiled in 646ms (1019 modules)
[2025-10-15T20:29:30.133Z] [INFO   ]  ✓ Compiled in 862ms (1019 modules)
[2025-10-15T20:29:31.738Z] [INFO   ]  ✓ Compiled in 524ms (1018 modules)
[2025-10-15T20:29:33.499Z] [INFO   ]  ✓ Compiled in 351ms (1018 modules)
[2025-10-15T20:31:56.913Z] [INFO   ]  ✓ Compiled in 1389ms (1018 modules)
[2025-10-15T20:35:38.935Z] [INFO   ]  ✓ Compiled in 1339ms (1018 modules)
[2025-10-15T20:40:49.907Z] [INFO   ]  ✓ Compiled in 1439ms (3255 modules)
[2025-10-15T20:41:08.219Z] [INFO   ]  ✓ Compiled in 363ms (1018 modules)
[2025-10-15T20:41:27.983Z] [INFO   ]  ✓ Compiled in 236ms (1018 modules)
[2025-10-15T20:42:04.931Z] [INFO   ]  ✓ Compiled in 618ms (1018 modules)
[2025-10-15T20:43:29.885Z] [INFO   ]  ✓ Compiled in 535ms (1018 modules)
[2025-10-15T20:44:18.281Z] [INFO   ]  ✓ Compiled in 536ms (1018 modules)
[2025-10-15T20:44:47.227Z] [INFO   ]  ✓ Compiled in 300ms (1018 modules)
[2025-10-15T20:44:55.822Z] [INFO   ]  ✓ Compiled in 401ms (1018 modules)
[2025-10-15T20:45:03.666Z] [INFO   ]  ✓ Compiled in 372ms (1018 modules)
[2025-10-15T20:45:58.824Z] [INFO   ]  ✓ Compiled in 506ms (1018 modules)
[2025-10-15T20:46:30.603Z] [INFO   ]  ✓ Compiled in 566ms (1018 modules)
[2025-10-15T20:46:52.713Z] [INFO   ]  ○ Compiling /home-light ...
[2025-10-15T20:46:53.282Z] [INFO   ]  ✓ Compiled /home-light in 1138ms (4420 modules)
[2025-10-15T20:49:23.707Z] [INFO   ]  ✓ Compiled in 1423ms (3265 modules)
[2025-10-15T20:49:33.486Z] [INFO   ]  ✓ Compiled in 451ms (1027 modules)
[2025-10-15T20:49:58.058Z] [INFO   ]  ✓ Compiled in 323ms (1027 modules)
[2025-10-15T20:50:13.199Z] [INFO   ]  ✓ Compiled in 319ms (1027 modules)
[2025-10-15T20:50:24.637Z] [INFO   ]  ✓ Compiled in 313ms (1027 modules)
[2025-10-15T20:50:36.799Z] [INFO   ]  ✓ Compiled in 332ms (1027 modules)
[2025-10-15T20:50:51.810Z] [INFO   ]  ✓ Compiled in 305ms (1027 modules)
[2025-10-15T20:51:06.167Z] [INFO   ]  ✓ Compiled in 374ms (1027 modules)
[2025-10-15T20:51:20.500Z] [INFO   ]  ✓ Compiled in 326ms (1027 modules)
[2025-10-15T20:51:33.473Z] [INFO   ]  ✓ Compiled in 345ms (1027 modules)
[2025-10-15T20:51:43.347Z] [INFO   ]  ✓ Compiled in 367ms (1027 modules)
[2025-10-15T20:52:08.276Z] [INFO   ]  ○ Compiling /home ...
[2025-10-15T20:52:08.641Z] [INFO   ]  ✓ Compiled /home in 865ms (3393 modules)
[2025-10-15T20:52:09.366Z] [INFO   ]  ✓ Compiled /home-light in 234ms (3406 modules)
[2025-10-15T21:04:31.646Z] [INFO   ]  ✓ Compiled in 1399ms (3265 modules)
[2025-10-15T21:04:40.518Z] [INFO   ]  ✓ Compiled in 533ms (1027 modules)
[2025-10-15T21:04:54.524Z] [INFO   ]  ✓ Compiled in 327ms (1027 modules)
[2025-10-15T21:05:00.478Z] [INFO   ]  ✓ Compiled in 671ms (1027 modules)
[2025-10-15T21:05:05.105Z] [INFO   ]  ✓ Compiled in 365ms (1027 modules)
[2025-10-15T21:05:12.559Z] [INFO   ]  ✓ Compiled in 311ms (1027 modules)
[2025-10-15T21:05:27.602Z] [INFO   ]  ✓ Compiled in 334ms (1027 modules)
[2025-10-15T21:05:40.279Z] [INFO   ]  ✓ Compiled in 446ms (1027 modules)
[2025-10-15T22:38:53.368Z] [INFO   ]  ✓ Compiled in 862ms (1027 modules)
[2025-10-15T22:38:53.740Z] [INFO   ]  ✓ Compiled in 369ms (1027 modules)
[2025-10-15T22:38:58.782Z] [INFO   ]  ✓ Compiled in 536ms (1027 modules)
[2025-10-15T22:39:04.663Z] [INFO   ]  ✓ Compiled in 577ms (1027 modules)
[2025-10-15T22:39:14.412Z] [INFO   ]  ✓ Compiled in 572ms (1027 modules)
[2025-10-15T22:39:32.914Z] [INFO   ]  ✓ Compiled in 672ms (1027 modules)
[2025-10-15T22:39:38.831Z] [INFO   ]  ✓ Compiled in 1120ms (1027 modules)
[2025-10-15T22:39:44.312Z] [INFO   ]  ✓ Compiled in 511ms (1027 modules)
[2025-10-15T22:39:57.325Z] [INFO   ]  ✓ Compiled in 578ms (1027 modules)
[2025-10-15T22:40:02.587Z] [INFO   ]  ✓ Compiled in 766ms (1027 modules)
[2025-10-15T22:40:08.090Z] [INFO   ]  ✓ Compiled in 742ms (1027 modules)
[2025-10-15T22:40:21.486Z] [INFO   ]  ✓ Compiled in 783ms (1027 modules)
[2025-10-15T22:40:21.855Z] [INFO   ]  ✓ Compiled in 364ms (1027 modules)
[2025-10-15T22:40:27.851Z] [INFO   ]  ✓ Compiled in 555ms (1027 modules)
[2025-10-15T22:40:33.218Z] [INFO   ]  ✓ Compiled in 570ms (1027 modules)
[2025-10-15T22:40:47.053Z] [INFO   ]  ✓ Compiled in 695ms (1027 modules)
[2025-10-15T22:40:52.865Z] [INFO   ]  ✓ Compiled in 977ms (1027 modules)
[2025-10-15T22:40:59.729Z] [INFO   ]  ✓ Compiled in 623ms (1027 modules)
[2025-10-15T23:11:34.977Z] [INFO   ]  ✓ Compiled in 1179ms (1027 modules)
[2025-10-15T23:13:29.201Z] [INFO   ]  ✓ Compiled in 1099ms (1027 modules)
[2025-10-15T23:13:35.825Z] [INFO   ]  ✓ Compiled in 692ms (1027 modules)
[2025-10-15T23:13:46.643Z] [INFO   ]  ✓ Compiled in 507ms (1027 modules)
[2025-10-15T23:13:58.162Z] [INFO   ]  ✓ Compiled in 546ms (1027 modules)
[2025-10-15T23:14:06.749Z] [INFO   ]  ✓ Compiled in 553ms (1027 modules)
[2025-10-15T23:14:13.901Z] [INFO   ]  ✓ Compiled in 611ms (1027 modules)
[2025-10-15T23:15:07.275Z] [INFO   ]  ✓ Compiled in 352ms (1027 modules)
[2025-10-15T23:15:13.881Z] [INFO   ]  ✓ Compiled in 417ms (1027 modules)
[2025-10-15T23:16:12.582Z] [INFO   ]  ✓ Compiled in 745ms (1027 modules)
[2025-10-15T23:24:49.573Z] [INFO   ]  ✓ Compiled in 3.2s (3264 modules)
[2025-10-15T23:25:27.408Z] [INFO   ]  ✓ Compiled in 651ms (1027 modules)
[2025-10-15T23:25:40.733Z] [INFO   ]  ✓ Compiled in 2.3s (1027 modules)
[2025-10-15T23:25:48.858Z] [INFO   ]  ✓ Compiled in 1118ms (1027 modules)
[2025-10-15T23:25:58.362Z] [INFO   ]  ✓ Compiled in 740ms (1027 modules)
[2025-10-15T23:26:50.696Z] [INFO   ]  ✓ Compiled in 448ms (1027 modules)
[2025-10-15T23:26:58.667Z] [INFO   ]  ✓ Compiled in 309ms (1027 modules)
[2025-10-15T23:27:58.145Z] [INFO   ]  ✓ Compiled in 908ms (1027 modules)
[2025-10-15T23:28:10.314Z] [INFO   ]  ✓ Compiled in 623ms (1027 modules)
[2025-10-15T23:28:21.916Z] [INFO   ]  ✓ Compiled in 995ms (1027 modules)
[2025-10-15T23:31:30.654Z] [INFO   ]  ✓ Compiled in 454ms (1027 modules)
[2025-10-15T23:32:43.902Z] [INFO   ]  ✓ Compiled in 1296ms (3264 modules)
[2025-10-15T23:33:18.207Z] [INFO   ]  ✓ Compiled in 515ms (1027 modules)
[2025-10-15T23:33:38.855Z] [INFO   ]  ✓ Compiled in 443ms (1027 modules)
[2025-10-15T23:33:51.286Z] [INFO   ]  ✓ Compiled in 369ms (1027 modules)
[2025-10-15T23:34:03.488Z] [INFO   ]  ✓ Compiled in 459ms (1027 modules)
[2025-10-15T23:34:26.932Z] [INFO   ]  ✓ Compiled in 812ms (3264 modules)
[2025-10-15T23:34:44.801Z] [INFO   ]  ✓ Compiled in 995ms (3264 modules)
[2025-10-15T23:35:00.903Z] [INFO   ]  ✓ Compiled in 834ms (3264 modules)
[2025-10-15T23:36:59.777Z] [INFO   ]  ✓ Compiled in 889ms (1027 modules)
[2025-10-15T23:37:23.421Z] [INFO   ]  ✓ Compiled in 369ms (1027 modules)
[2025-10-15T23:37:33.416Z] [INFO   ]  ✓ Compiled in 285ms (1027 modules)
[2025-10-15T23:37:41.027Z] [INFO   ]  ✓ Compiled in 281ms (1027 modules)
[2025-10-15T23:40:21.723Z] [INFO   ]  ✓ Compiled in 541ms (1027 modules)
[2025-10-15T23:40:47.168Z] [INFO   ]  ✓ Compiled in 391ms (1027 modules)
[2025-10-15T23:41:13.524Z] [INFO   ]  ✓ Compiled in 667ms (1027 modules)
[2025-10-15T23:41:32.494Z] [INFO   ]  ✓ Compiled in 559ms (1027 modules)
[2025-10-15T23:41:44.884Z] [INFO   ]  ✓ Compiled in 380ms (1027 modules)
[2025-10-15T23:41:52.915Z] [INFO   ]  ✓ Compiled in 279ms (1027 modules)
[2025-10-15T23:42:01.136Z] [INFO   ]  ✓ Compiled in 367ms (1027 modules)
[2025-10-15T23:42:13.618Z] [INFO   ]  ✓ Compiled in 401ms (1027 modules)
[2025-10-15T23:42:26.260Z] [INFO   ]  ✓ Compiled in 344ms (1027 modules)
[2025-10-15T23:42:35.433Z] [INFO   ]  ✓ Compiled in 314ms (1027 modules)
[2025-10-15T23:42:43.472Z] [INFO   ]  ✓ Compiled in 399ms (1027 modules)
